epoch,iso_utc,http_code,latency_ms,success,curl_exit,error
1771649532,2026-02-21T04:52:12Z,000,1568.154,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771649538,2026-02-21T04:52:18Z,000,1070.804,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771649545,2026-02-21T04:52:25Z,200,2745.990,1,0,
1771649553,2026-02-21T04:52:33Z,200,377.918,1,0,
1771649558,2026-02-21T04:52:38Z,200,476.444,1,0,
1771649564,2026-02-21T04:52:44Z,200,274.475,1,0,
1771649569,2026-02-21T04:52:49Z,200,338.285,1,0,
1771649575,2026-02-21T04:52:55Z,200,283.825,1,0,
1771650545,2026-02-21T05:09:05Z,000,83.509,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771650551,2026-02-21T05:09:11Z,000,47.939,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771650556,2026-02-21T05:09:16Z,000,618.333,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771650562,2026-02-21T05:09:22Z,000,1792.702,0,35,curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to mikes-mac-mini.dog-rattlesnake.ts.net:443
1771650569,2026-02-21T05:09:29Z,200,2190.157,1,0,
1771650576,2026-02-21T05:09:36Z,200,242.843,1,0,
1771650582,2026-02-21T05:09:42Z,200,451.092,1,0,
1771650587,2026-02-21T05:09:47Z,200,437.515,1,0,
1771650593,2026-02-21T05:09:53Z,200,179.971,1,0,
1771650599,2026-02-21T05:09:59Z,200,570.445,1,0,
1771650604,2026-02-21T05:10:04Z,200,250.055,1,0,
1771650610,2026-02-21T05:10:10Z,200,697.382,1,0,
1771650616,2026-02-21T05:10:16Z,200,696.378,1,0,
1771650622,2026-02-21T05:10:22Z,200,1607.599,1,0,
1771650629,2026-02-21T05:10:29Z,200,206.112,1,0,
1771650634,2026-02-21T05:10:34Z,200,417.173,1,0,
1771650640,2026-02-21T05:10:40Z,200,954.779,1,0,
1771650646,2026-02-21T05:10:46Z,200,261.391,1,0,
1771650651,2026-02-21T05:10:51Z,200,199.498,1,0,
1771650657,2026-02-21T05:10:57Z,200,406.335,1,0,
1771650662,2026-02-21T05:11:02Z,200,275.355,1,0,
1771650668,2026-02-21T05:11:08Z,200,512.911,1,0,
1771650674,2026-02-21T05:11:14Z,200,697.410,1,0,
1771650679,2026-02-21T05:11:19Z,200,249.368,1,0,
1771650685,2026-02-21T05:11:25Z,200,417.297,1,0,
1771650691,2026-02-21T05:11:31Z,200,188.781,1,0,
1771650696,2026-02-21T05:11:36Z,200,206.663,1,0,
1771650701,2026-02-21T05:11:41Z,200,293.713,1,0,
1771650707,2026-02-21T05:11:47Z,200,265.933,1,0,
1771650712,2026-02-21T05:11:52Z,200,326.651,1,0,
1771650718,2026-02-21T05:11:58Z,200,725.272,1,0,
1771650724,2026-02-21T05:12:04Z,200,361.555,1,0,
1771650729,2026-02-21T05:12:09Z,200,362.126,1,0,
1771650735,2026-02-21T05:12:15Z,200,468.738,1,0,
1771650741,2026-02-21T05:12:21Z,200,573.203,1,0,
1771650747,2026-02-21T05:12:27Z,200,485.762,1,0,
1771650752,2026-02-21T05:12:32Z,200,523.648,1,0,
1771650758,2026-02-21T05:12:38Z,200,294.647,1,0,
1771650763,2026-02-21T05:12:44Z,200,282.390,1,0,
1771650769,2026-02-21T05:12:49Z,200,266.406,1,0,
1771650775,2026-02-21T05:12:55Z,200,399.872,1,0,
1771650780,2026-02-21T05:13:00Z,200,414.791,1,0,
1771650786,2026-02-21T05:13:06Z,200,321.616,1,0,
1771650791,2026-02-21T05:13:11Z,200,251.058,1,0,
1771650797,2026-02-21T05:13:17Z,200,165.259,1,0,
1771650802,2026-02-21T05:13:22Z,200,258.303,1,0,
1771650808,2026-02-21T05:13:28Z,200,307.227,1,0,
